0.72511	0.72041	1191	1194	5.6186	181.58
0.72429	0.7254	1188	1188	4.4616	317.66
0.71401	0.71939	1208	1201	7.4589	304.34
0.72634	0.72634	1186	1186	4.9175	161.98
0.72226	0.72605	1190	1189	7.5433	339.64
0.71933	0.71841	1182	1184	8.0561	221.9
0.71739	0.72651	1191	1188	3.8392	221.39
0.72033	0.72051	1187	1189	4.3897	195.36
0.72628	0.72721	1179	1177	6.2389	285.28
0.71887	0.71711	1183	1194	8.6243	356.73
0.72394	0.72237	1184	1185	6.0499	328.28
0.71803	0.72069	1192	1191	7.8869	326.99
0.71721	0.72197	1189	1193	3.8057	419.59
0.71959	0.71923	1191	1187	6.9496	483.5
0.72365	0.72365	1187	1187	8.0052	234.59
0.72015	0.71877	1185	1188	5.6948	380.37
0.72329	0.72208	1183	1188	6.2835	207.48
0.72123	0.71756	1197	1205	7.3806	298.08
0.71648	0.71711	1193	1194	4.3196	465.18
0.72465	0.71329	1192	1212	4.6629	510.31
0.72605	0.72651	1189	1188	7.5519	346.35
0.71465	0.71639	1185	1186	4.1678	246.65
0.7254	0.71849	1188	1191	7.0283	302.01
0.71941	0.71365	1189	1192	8.3737	298.55
0.72558	0.72179	1190	1191	5.1718	263.11
0.71438	0.71905	1188	1185	5.0733	398.92
0.72809	0.72669	1187	1190	10.015	281.98
0.71931	0.7162	1194	1196	4.4976	281.25
0.71656	0.71849	1200	1191	6.8329	294.28
0.71675	0.71584	1190	1192	5.0954	331.93
