1122	64
32	5
0	0
0	0
19	1
31	3
1	0
4	0
6	0
0	0
35	6
8	0
4	0
6	0
1	0
1	0
0	0
100	10
0	0
0	0
0	0
0	0
0	0
1	0
2	0
1	0
0	0
9	1
0	0
4	1
0	0
1	0
15	0
12	0
53	1
2	0
5	0
0	0
12	0
1	0
0	0
5	0
27	0
2	0
0	0
6	3
0	0
15	0
3	0
0	0
3	0
2	0
2	0
0	0
10	0
1	0
0	0
10	0
1	0
0	0
0	0
15	0
15	0
0	0
23	1
3	0
3	0
8	1
4	0
9	0
23	0
28	0
0	0
2	0
17	1
16	0
2	0
7	0
0	0
0	0
3	0
2	0
0	0
1	0
1	0
8	0
3	2
1	0
11	0
0	0
0	0
9	0
13	3
8	0
0	0
2	0
20	0
0	0
16	1
0	0
14	1
18	0
16	9
8	1
25	6
1	0
1	0
3	0
4	0
9	0
4	0
14	0
56	0
0	0
58	4
25	1
4	0
12	8
0	0
1	0
2	0
15	1
2	0
0	0
0	0
1	0
7	0
3	0
6	0
1	0
3	0
10	0
0	0
8	0
4	0
2	0
6	0
8	1
1	0
17	5
6	0
9	0
1	0
2	0
0	0
13	0
