0.9699	22.5	1471	1474	6.5677	4.15
0.97634	17.5	1458	1465	3.2194	2.8555
0.95594	33	1465	1465	3.5431	2.6679
0.97061	22	1483	1467	6.6831	3.5214
0.96854	23.5	1460	1481	2.5351	2.9285
0.9622	28.5	1484	1475	6.4001	3.9131
0.96635	25	1464	1458	5.82	3.0776
0.96195	28.5	1476	1463	6.3283	2.5248
0.97793	16.5	1476	1481	5.7361	5.6062
0.96126	29	1479	1457	6.1666	3.1137
0.96524	26	1463	1477	3.0347	3.1309
0.96873	23.5	1484	1475	5.7317	2.8849
0.96968	22.5	1465	1458	2.6996	3.4423
0.97241	20.5	1468	1463	5.6793	2.8499
0.95681	32.5	1465	1480	2.5743	5.2716
0.96785	24	1465	1473	2.8014	6.5734
0.97983	15	1468	1476	2.6219	6.0101
0.96998	22.5	1478	1475	5.5701	2.8105
0.96787	24	1469	1471	6.2046	5.5382
0.94947	38	1465	1467	3.3491	3.1574
0.97569	18	1458	1468	3.2407	6.1599
0.96154	29	1482	1476	5.7461	6.7761
0.95878	31	1465	1481	3.429	6.2973
0.96045	30	1488	1486	7.3099	5.4843
0.96923	23	1481	1463	2.9465	2.5008
0.96471	26.5	1477	1474	5.6687	4.2939
0.96531	26	1467	1479	3.4232	8.4631
0.97043	22	1467	1465	3.1662	2.6468
0.9717	21	1459	1467	2.7938	3.2712
0.98242	13	1465	1467	2.8286	3.1435
