rxn00001	0
rxn00003	1
rxn00010	0
rxn00012	0
rxn00018	0
rxn00022	0
rxn00033	0
rxn00056	0
rxn00062	0
rxn00066	0
rxn00068	0
rxn00076	1
rxn00077	0
rxn00086	0
rxn00097	0
rxn00100	0
rxn00101	0
rxn00102	0
rxn00113	1
rxn00117	0
rxn00119	0
rxn00121	1
rxn00124	0
rxn00132	0
rxn00134	0
rxn00138	0
rxn00139	0
rxn00141	0
rxn00143	0
rxn00145	0
rxn00148	0
rxn00149	0
rxn00152	0
rxn00154	0
rxn00165	0
rxn00171	0
rxn00178	0
rxn00179	1
rxn00181	0
rxn00184	0
rxn00187	0
rxn00193	1
rxn00194	0
rxn00206	0
rxn00213	1
rxn00216	0
rxn00224	0
rxn00225	0
rxn00237	0
rxn00239	0
rxn00242	0
rxn00244	0
rxn00245	0
rxn00251	0
rxn00256	0
rxn00258	0
rxn00259	0
rxn00260	0
rxn00262	0
rxn00278	0
rxn00283	0
rxn00292	0
rxn00293	0
rxn00295	0
rxn00297	0
rxn00299	0
rxn00300	1
rxn00302	0
rxn00303	0
rxn00305	0
rxn00312	1
rxn00313	0
rxn00314	0
rxn00322	0
rxn00327	0
rxn00336	0
rxn00337	0
rxn00340	0
rxn00342	0
rxn00345	0
rxn00346	1
rxn00355	0
rxn00363	0
rxn00364	0
rxn00365	0
rxn00368	0
rxn00374	0
rxn00375	0
rxn00376	0
rxn00390	0
rxn00392	1
rxn00405	0
rxn00409	0
rxn00414	0
rxn00420	0
rxn00422	0
rxn00423	0
rxn00428	0
rxn00438	0
rxn00459	0
rxn00461	1
rxn00470	0
rxn00474	0
rxn00484	0
rxn00488	1
rxn00493	0
rxn00497	0
rxn00499	0
rxn00519	0
rxn00521	1
rxn00527	0
rxn00532	0
rxn00539	0
rxn00540	0
rxn00542	0
rxn00543	0
rxn00545	0
rxn00547	0
rxn00550	0
rxn00552	0
rxn00555	0
rxn00558	0
rxn00559	0
rxn00566	0
rxn00568	0
rxn00569	0
rxn00572	0
rxn00575	0
rxn00577	0
rxn00586	1
rxn00587	0
rxn00593	0
rxn00611	0
rxn00636	0
rxn00649	0
rxn00650	0
rxn00653	1
rxn00655	0
rxn00658	0
rxn00670	0
rxn00678	0
rxn00679	0
rxn00686	0
rxn00689	0
rxn00690	0
rxn00692	0
rxn00704	0
rxn00707	0
rxn00708	0
rxn00709	0
rxn00710	1
rxn00711	0
rxn00712	0
